accession	seq_len	N_count	nearest_clade	dist_to_nearest_clade
EPI_ISL_510513	29623	14	20A-3	0
EPI_ISL_469565	29623	966	20A-3	0
EPI_ISL_509098	29623	2795	20C-1	0
EPI_ISL_443958	29623	296	20A-2	0
EPI_ISL_421343	29623	0	20A-2	0
EPI_ISL_578089	29623	0	20A-1	0
EPI_ISL_472961	29623	30	20B-2	0
EPI_ISL_564010	29623	2	20B-2	0
EPI_ISL_545744	29623	0	20C-1	0
EPI_ISL_467183	29623	6	19B-4	0
EPI_ISL_452754	29623	6	19B-4	0
EPI_ISL_447577	29623	0	19A-3	0
EPI_ISL_446571	29623	349	20A-3	0
EPI_ISL_539043	29623	1	19A-4	0
EPI_ISL_447173	29623	1	19B-1	0
EPI_ISL_488563	29623	0	20B-2	0
EPI_ISL_488556	29623	0	20B-2	0
EPI_ISL_418629	29623	2	20A-3	0
EPI_ISL_442055	29623	295	20A-3	0
EPI_ISL_525910	29623	27	20A-3	0
EPI_ISL_525917	29623	27	20A-3	0
EPI_ISL_525921	29623	27	20A-3	0
EPI_ISL_454827	29623	124	20C-1	0
EPI_ISL_454805	29623	124	20C-1	0
EPI_ISL_552819	29623	553	20A-3	1
EPI_ISL_535459	29623	0	20B-2	0
EPI_ISL_531894	29623	0	20B-2	0
EPI_ISL_534433	29623	0	20B-2	0
EPI_ISL_534431	29623	0	20B-2	0
EPI_ISL_520440	29623	1135	20B-2	0
EPI_ISL_567856	29623	0	20A-3	0
EPI_ISL_446445	29623	270	20C-1	0
EPI_ISL_552480	29623	0	20A-3	0
EPI_ISL_500012	29623	1	20B-2	0
EPI_ISL_441586	29623	297	20A-3	0
EPI_ISL_416335	29623	0	19B-2	0
EPI_ISL_522237	29623	0	20B-2	0
EPI_ISL_521941	29623	0	20B-2	0
EPI_ISL_522158	29623	0	20B-2	0
EPI_ISL_522091	29623	0	20B-2	0
EPI_ISL_564289	29623	0	20B-2	0
EPI_ISL_512638	29623	34	20B-1	0
EPI_ISL_536360	29623	0	20B-2	0
EPI_ISL_565586	29623	0	20B-2	0
EPI_ISL_541369	29623	0	20B-2	0
EPI_ISL_575257	29623	1034	20C-1	0
EPI_ISL_531697	29623	0	20B-2	0
EPI_ISL_576863	29623	0	20B-2	0
EPI_ISL_537071	29623	0	20B-2	0
EPI_ISL_530520	29623	0	20B-2	0
EPI_ISL_540026	29623	0	20B-2	0
EPI_ISL_567979	29623	0	20B-2	0
EPI_ISL_532616	29623	0	20B-2	0
EPI_ISL_573052	29623	0	20B-2	0
EPI_ISL_530360	29623	0	20B-2	0
EPI_ISL_531971	29623	0	20B-2	0
EPI_ISL_575399	29623	0	20B-2	0
EPI_ISL_552760	29623	0	20B-2	0
EPI_ISL_549536	29623	0	20B-2	0
EPI_ISL_552728	29623	0	20B-2	0
EPI_ISL_549448	29623	0	20B-2	0
EPI_ISL_539921	29623	0	20B-2	0
EPI_ISL_532534	29623	0	20B-2	0
EPI_ISL_530776	29623	0	20B-2	0
EPI_ISL_573189	29623	0	20B-2	0
EPI_ISL_536948	29623	0	20B-2	0
EPI_ISL_531725	29623	0	20B-2	0
EPI_ISL_520826	29623	0	20B-2	0
EPI_ISL_538207	29623	1328	20A-3	0
EPI_ISL_490264	29623	1049	20B-2	0
EPI_ISL_507086	29623	0	19A-4	0
EPI_ISL_446540	29623	784	20B-2	0
EPI_ISL_524303	29623	259	20C-1	0
EPI_ISL_533042	29623	0	20B-2	0
EPI_ISL_449175	29623	8	20A-3	0
EPI_ISL_480818	29623	0	20C-1	0
EPI_ISL_511172	29623	0	20A-3	0
EPI_ISL_555173	29623	498	20B-2	0
EPI_ISL_535250	29623	91	20B-2	0
EPI_ISL_496032	29623	0	20B-2	0
EPI_ISL_542538	29623	93	20C-1	0
EPI_ISL_452040	29623	498	20B-2	0
EPI_ISL_446776	29623	475	20B-2	0
EPI_ISL_425697	29623	273	20B-2	0
EPI_ISL_449696	29623	0	20B-2	0
EPI_ISL_513581	29623	0	20B-2	0
EPI_ISL_533318	29623	1	20B-2	0
EPI_ISL_484336	29623	1029	20B-2	0
EPI_ISL_541830	29623	1	20A-3	0
EPI_ISL_510124	29623	188	20A-3	0
EPI_ISL_471684	29623	1651	20C-1	0
EPI_ISL_541642	29623	218	20C-1	0
EPI_ISL_463894	29623	7	19B-2	0
EPI_ISL_441779	29623	296	19A-4	0
EPI_ISL_488573	29623	1	19A-4	0
EPI_ISL_477924	29623	153	20A-3	0
EPI_ISL_528534	29623	891	20C-1	0
EPI_ISL_498611	29623	1	19A-3	0
EPI_ISL_415631	29623	0	19A-4	0
EPI_ISL_477089	29623	1593	19B-3	0
EPI_ISL_533043	29623	0	20B-2	0
EPI_ISL_533104	29623	0	20B-2	0
EPI_ISL_533150	29623	0	20B-2	0
EPI_ISL_493810	29623	308	20A-3	0
EPI_ISL_550037	29623	0	20B-2	0
EPI_ISL_529591	29623	3	20B-2	0
EPI_ISL_549260	29623	2389	20A-2	0
EPI_ISL_443682	29623	295	20B-2	0
EPI_ISL_443083	29623	295	20B-2	0
EPI_ISL_543424	29623	774	20C-1	0
EPI_ISL_539191	29623	483	20A-3	0
EPI_ISL_459044	29623	1070	20A-2	0
EPI_ISL_441389	29623	320	20C-1	0
EPI_ISL_468153	29623	0	20B-2	0
EPI_ISL_468151	29623	0	20B-2	0
EPI_ISL_468155	29623	0	20B-2	0
EPI_ISL_530065	29623	0	20A-3	0
EPI_ISL_430090	29623	0	20A-3	0
EPI_ISL_438464	29623	296	20A-2	0
EPI_ISL_561186	29623	460	20A-3	0
EPI_ISL_558993	29623	739	20A-3	0
EPI_ISL_415600	29623	40	19B-3	0
EPI_ISL_529676	29623	1	20B-2	0
EPI_ISL_420125	29623	0	20A-3	0
EPI_ISL_510424	29623	0	20A-3	0
EPI_ISL_538043	29623	0	20A-3	0
EPI_ISL_422142	29623	79	20A-3	0
EPI_ISL_453347	29623	2415	20A-3	0
EPI_ISL_571470	29623	278	20C-1	0
EPI_ISL_571483	29623	278	20C-1	0
EPI_ISL_465011	29623	434	19A-4	0
EPI_ISL_549517	29623	4	20A-3	0
EPI_ISL_484265	29623	2	20B-2	0
EPI_ISL_456857	29623	587	20A-3	0
EPI_ISL_425616	29623	295	20B-2	1
EPI_ISL_425567	29623	295	20B-2	1
EPI_ISL_440297	29623	295	20B-2	1
EPI_ISL_447045	29623	0	20A-1	0
EPI_ISL_423668	29623	1014	19A-4	0
EPI_ISL_452172	29623	0	20A-3	0
EPI_ISL_425237	29623	220	20C-1	0
EPI_ISL_528869	29623	0	20B-2	0
EPI_ISL_426068	29623	0	20C-1	0
EPI_ISL_540668	29623	4	20B-2	0
EPI_ISL_550239	29623	0	20A-2	0
EPI_ISL_549890	29623	0	20A-2	0
EPI_ISL_551630	29623	347	20B-2	0
EPI_ISL_493929	29623	2	20A-3	0
EPI_ISL_479491	29623	0	19A-3	0
EPI_ISL_499305	29623	476	20B-2	0
EPI_ISL_560165	29623	0	20B-2	1
EPI_ISL_424085	29623	963	19A-1	0
EPI_ISL_543760	29623	2	20C-1	0
EPI_ISL_516297	29623	82	20C-1	0
EPI_ISL_438001	29623	3	20A-3	0
EPI_ISL_481526	29623	0	20A-3	0
EPI_ISL_492881	29623	0	20B-2	0
EPI_ISL_483708	29623	0	19B-4	1
EPI_ISL_514308	29623	0	19B-4	1
EPI_ISL_469911	29623	296	20A-3	0
EPI_ISL_516846	29623	295	20A-3	0
EPI_ISL_429590	29623	0	20C-1	0
EPI_ISL_429055	29623	171	19B-3	0
EPI_ISL_555163	29623	1752	20B-1	0
EPI_ISL_457253	29623	8	20B-2	0
EPI_ISL_479197	29623	240	20B-1	0
EPI_ISL_479241	29623	240	20B-1	0
EPI_ISL_484501	29623	240	20B-1	0
EPI_ISL_479234	29623	240	20B-1	0
EPI_ISL_479238	29623	240	20B-1	0
EPI_ISL_489371	29623	240	20B-2	0
EPI_ISL_477899	29623	0	19A-4	0
EPI_ISL_423883	29623	139	20A-3	0
EPI_ISL_453099	29623	293	20A-3	0
EPI_ISL_458091	29623	0	20A-1	0
EPI_ISL_426647	29623	0	19B-4	0
EPI_ISL_452324	29623	1	20C-1	0
EPI_ISL_576668	29623	0	20B-2	0
EPI_ISL_461902	29623	6	20B-2	0
EPI_ISL_516665	29623	0	20C-1	0
EPI_ISL_512558	29623	0	20C-1	0
EPI_ISL_564208	29623	158	20B-2	0
EPI_ISL_576981	29623	1984	20B-2	0
EPI_ISL_540984	29623	0	20B-1	0
EPI_ISL_513731	29623	0	20B-2	0
EPI_ISL_567764	29623	0	20A-3	0
EPI_ISL_542156	29623	117	20B-1	0
EPI_ISL_457702	29623	0	20B-2	0
EPI_ISL_420053	29623	206	20C-1	0
EPI_ISL_539973	29623	150	20B-2	0
EPI_ISL_465512	29623	344	20A-3	0
EPI_ISL_431926	29623	435	20B-2	0
EPI_ISL_542724	29623	0	19B-1	0
EPI_ISL_542731	29623	0	19B-1	0
EPI_ISL_459447	29623	1694	20B-1	0
EPI_ISL_471175	29623	521	20A-2	0
EPI_ISL_562620	29623	204	20B-2	1
EPI_ISL_557325	29623	2125	20B-2	0
EPI_ISL_556378	29623	2067	20A-3	0
EPI_ISL_523462	29623	0	20B-2	0
EPI_ISL_523536	29623	0	20B-2	0
EPI_ISL_521288	29623	0	20B-2	0
EPI_ISL_519083	29623	0	20B-2	0
EPI_ISL_544291	29623	1052	20A-3	0
EPI_ISL_471741	29623	1870	20C-1	0
EPI_ISL_466861	29623	444	20B-2	0
EPI_ISL_558909	29623	0	20A-3	1
EPI_ISL_471708	29623	186	20A-3	1
EPI_ISL_550362	29623	1	20B-2	1
EPI_ISL_560080	29623	0	20A-3	0
EPI_ISL_479890	29623	0	19B-2	0
EPI_ISL_475025	29623	0	19A-3	2
EPI_ISL_490388	29623	2785	20B-2	0
EPI_ISL_499900	29623	582	20A-3	0
EPI_ISL_434846	29623	0	20C-1	0
EPI_ISL_544259	29623	0	20C-1	0
EPI_ISL_542728	29623	0	20C-1	0
EPI_ISL_439553	29623	635	19A-4	0
EPI_ISL_440611	29623	274	19A-4	0
EPI_ISL_531419	29623	2	20A-3	1
EPI_ISL_453561	29623	35	20A-1	0
EPI_ISL_484428	29623	3	20C-1	0
EPI_ISL_447313	29623	109	20C-1	0
EPI_ISL_501104	29623	2	20A-3	0
EPI_ISL_522502	29623	0	19A-3	1
EPI_ISL_454863	29623	1773	19A-3	0
EPI_ISL_420392	29623	0	19A-4	0
EPI_ISL_462215	29623	0	19A-4	0
EPI_ISL_511320	29623	695	20C-1	0
EPI_ISL_462180	29623	0	20A-1	0
EPI_ISL_474691	29623	479	20B-2	0
EPI_ISL_466773	29623	0	20C-1	0
EPI_ISL_466800	29623	0	20C-1	0
EPI_ISL_460731	29623	0	20A-3	0
EPI_ISL_463898	29623	414	19B-2	0
EPI_ISL_568532	29623	0	20B-1	0
EPI_ISL_537323	29623	409	19B-4	0
EPI_ISL_525486	29623	7	20C-1	0
EPI_ISL_550964	29623	0	20B-2	1
EPI_ISL_477116	29623	783	19B-3	0
EPI_ISL_454340	29623	0	20B-2	0
EPI_ISL_454065	29623	0	20B-2	0
EPI_ISL_510916	29623	0	20B-2	0
EPI_ISL_511259	29623	0	20B-2	0
EPI_ISL_444223	29623	0	20B-2	0
EPI_ISL_571306	29623	0	20C-1	0
EPI_ISL_570865	29623	1	20C-1	0
EPI_ISL_453686	29623	592	20B-2	0
EPI_ISL_455454	29623	598	19A-1	0
EPI_ISL_562941	29623	234	20B-2	0
EPI_ISL_443951	29623	122	20B-2	0
EPI_ISL_500473	29623	79	20B-2	0
EPI_ISL_570382	29623	0	20B-2	0
EPI_ISL_570316	29623	0	20B-2	0
EPI_ISL_507776	29623	0	20C-1	0
EPI_ISL_562731	29623	0	20B-2	0
EPI_ISL_517989	29623	2013	20C-1	0
EPI_ISL_465128	29623	342	19A-4	0
EPI_ISL_460940	29623	0	20A-3	0
EPI_ISL_462221	29623	0	20A-1	0
EPI_ISL_500848	29623	0	20B-2	0
EPI_ISL_577256	29623	870	20C-1	0
EPI_ISL_539287	29623	184	20A-3	0
EPI_ISL_474177	29623	1	20B-2	0
EPI_ISL_570984	29623	49	20B-2	0
EPI_ISL_438903	29623	195	20A-3	0
EPI_ISL_496180	29623	0	20B-2	0
EPI_ISL_477869	29623	0	20A-3	0
EPI_ISL_469794	29623	1058	19A-4	0
EPI_ISL_494020	29623	12	20B-2	0
EPI_ISL_426471	29623	0	20C-1	0
EPI_ISL_426470	29623	0	20C-1	0
EPI_ISL_571907	29623	0	20C-1	0
EPI_ISL_441838	29623	2111	20A-3	1
EPI_ISL_418064	29623	0	19B-3	0
EPI_ISL_464325	29623	2039	20B-2	0
EPI_ISL_429779	29623	17	20B-2	0
EPI_ISL_413568	29623	201	19A-1	0
EPI_ISL_414458	29623	201	19A-1	0
EPI_ISL_551236	29623	109	20A-1	0
EPI_ISL_483967	29623	0	19A-4	0
EPI_ISL_476977	29623	0	20C-1	0
EPI_ISL_488822	29623	1	19A-4	0
EPI_ISL_459190	29623	409	20A-2	0
EPI_ISL_531469	29623	1	20B-2	0
EPI_ISL_442449	29623	506	20A-3	0
EPI_ISL_550661	29623	1	20B-2	1
EPI_ISL_479089	29623	0	20A-3	0
EPI_ISL_441395	29623	386	20C-1	0
EPI_ISL_439569	29623	856	20A-3	0
EPI_ISL_470295	29623	295	20B-2	0
EPI_ISL_532136	29623	0	20A-3	1
EPI_ISL_477281	29623	0	20C-1	0
EPI_ISL_475375	29623	2	20A-3	0
EPI_ISL_475484	29623	2	20A-3	0
EPI_ISL_475434	29623	2	20A-3	0
EPI_ISL_493694	29623	2	20A-3	0
EPI_ISL_488081	29623	227	20A-3	0
EPI_ISL_443331	29623	410	20A-3	0
EPI_ISL_476791	29623	0	20C-1	0
EPI_ISL_483978	29623	422	20B-2	0
EPI_ISL_574392	29623	0	20A-3	0
EPI_ISL_574390	29623	0	20A-3	0
EPI_ISL_574426	29623	0	20A-3	0
EPI_ISL_498547	29623	2	20B-2	0
EPI_ISL_515903	29623	1	20C-1	0
EPI_ISL_542279	29623	117	20A-3	0
EPI_ISL_437934	29623	3	20A-2	1
EPI_ISL_458372	29623	295	20B-2	0
EPI_ISL_489115	29623	759	20B-1	0
EPI_ISL_541784	29623	1	20B-2	0
EPI_ISL_545911	29623	0	20C-1	0
EPI_ISL_535781	29623	3	20A-3	0
EPI_ISL_540408	29623	290	20B-2	1
EPI_ISL_551245	29623	290	20B-2	1
EPI_ISL_551022	29623	290	20B-2	1
EPI_ISL_552154	29623	290	20B-2	1
EPI_ISL_425435	29623	1	20A-3	0
EPI_ISL_556798	29623	285	20B-2	0
EPI_ISL_498815	29623	0	20B-2	0
EPI_ISL_476514	29623	0	20A-3	0
EPI_ISL_544511	29623	0	20C-1	0
EPI_ISL_425321	29623	222	20B-2	0
EPI_ISL_539122	29623	0	20B-2	1
EPI_ISL_427519	29623	0	20C-1	0
EPI_ISL_467268	29623	184	20C-1	0
EPI_ISL_534325	29623	7	20B-2	0
EPI_ISL_577278	29623	764	20A-2	0
EPI_ISL_577265	29623	764	20A-2	0
EPI_ISL_536970	29623	0	20B-2	0
EPI_ISL_452706	29623	428	19B-4	0
EPI_ISL_479582	29623	1	19A-3	0
EPI_ISL_536498	29623	0	20B-1	0
EPI_ISL_507832	29623	870	20C-1	0
EPI_ISL_520523	29623	20	20B-2	0
EPI_ISL_459893	29623	0	20A-2	1
EPI_ISL_459899	29623	0	20A-2	1
EPI_ISL_459900	29623	0	20A-2	1
EPI_ISL_527828	59246	1787	20C-1	0
EPI_ISL_500287	29623	186	20A-3	0
EPI_ISL_575039	29623	259	20C-1	0
EPI_ISL_410045	29623	0	19B-1	2
EPI_ISL_416364	29623	201	19A-1	1
EPI_ISL_459976	29623	0	20A-2	0
EPI_ISL_530052	29623	0	20A-3	0
EPI_ISL_473754	29623	271	20A-3	0
EPI_ISL_461234	29623	0	20C-1	0
EPI_ISL_448208	29623	788	20A-3	0
EPI_ISL_443563	29623	303	20A-3	1
EPI_ISL_507248	29623	0	20B-2	0
EPI_ISL_550013	29623	0	20B-2	0
EPI_ISL_573235	29623	0	20B-2	0
EPI_ISL_567599	29623	0	20B-2	0
EPI_ISL_567650	29623	0	20B-2	0
EPI_ISL_573675	29623	0	20B-2	0
EPI_ISL_567489	29623	0	20B-2	0
EPI_ISL_567806	29623	0	20B-2	0
EPI_ISL_567624	29623	0	20B-2	0
EPI_ISL_567539	29623	0	20B-2	0
EPI_ISL_567988	29623	0	20B-2	0
EPI_ISL_566227	29623	0	20B-2	0
EPI_ISL_427089	29623	855	20A-3	0
EPI_ISL_437353	29623	996	20A-2	0
EPI_ISL_449424	29623	2766	20A-3	0
EPI_ISL_484742	29623	218	20C-1	0
EPI_ISL_540724	29623	268	20B-2	0
EPI_ISL_465578	29623	451	19A-4	0
EPI_ISL_564427	29623	75	20B-2	0
EPI_ISL_572087	29623	0	20A-3	0
EPI_ISL_508499	29623	0	20A-1	0
EPI_ISL_510148	29623	188	19A-4	1
EPI_ISL_452085	29623	0	20B-2	0
EPI_ISL_493538	29623	1062	20B-2	0
EPI_ISL_441795	29623	296	20A-3	0
EPI_ISL_457542	29623	0	20B-2	0
EPI_ISL_537215	29623	3	20B-2	0
EPI_ISL_472700	29623	380	20A-3	1
EPI_ISL_416477	29623	0	19B-4	0
EPI_ISL_515623	29623	0	20A-3	0
EPI_ISL_546079	29623	507	20C-1	0
EPI_ISL_448118	29623	6	19A-1	0
EPI_ISL_438167	29623	0	20C-1	1
EPI_ISL_537621	29623	186	19B-4	0
EPI_ISL_493607	29623	285	20B-2	0
EPI_ISL_433324	29623	153	20A-3	0
EPI_ISL_459946	29623	740	19A-3	0
EPI_ISL_558507	29623	0	20B-2	0
EPI_ISL_558876	29623	0	20B-2	0
EPI_ISL_465375	29623	421	20B-2	0
EPI_ISL_572397	29623	7	20B-2	0
EPI_ISL_482216	29623	1327	20B-2	0
EPI_ISL_567538	29623	0	20B-2	1
EPI_ISL_575373	29623	0	20B-2	1
EPI_ISL_573028	29623	0	20B-2	1
EPI_ISL_567878	29623	0	20B-2	1
EPI_ISL_495085	29623	439	20B-2	0
EPI_ISL_429882	29623	0	19A-3	0
EPI_ISL_481127	29623	0	19A-3	0
EPI_ISL_451478	29623	0	20C-1	0
EPI_ISL_575256	29623	1051	20C-1	0
EPI_ISL_424352	29623	0	19A-4	1
EPI_ISL_574877	29623	0	20C-1	0
EPI_ISL_458621	29623	94	19A-1	0
EPI_ISL_573458	29623	296	20B-2	0
EPI_ISL_436072	29623	0	20C-1	1
EPI_ISL_508390	29623	0	19B-2	0
EPI_ISL_562094	29623	363	20B-2	0
EPI_ISL_452721	29623	3	19B-4	0
EPI_ISL_523024	29623	0	19A-1	0
EPI_ISL_523026	29623	0	19A-1	0
EPI_ISL_465618	29623	101	20B-2	0
EPI_ISL_495050	29623	0	20A-1	0
EPI_ISL_575757	29623	0	20A-3	0
EPI_ISL_513579	29623	20	20B-2	0
EPI_ISL_434251	29623	0	19B-3	0
EPI_ISL_534660	29623	477	20A-3	0
EPI_ISL_524885	29623	0	20C-1	0
EPI_ISL_430818	29623	236	20B-2	0
EPI_ISL_530558	29623	109	20A-3	0
EPI_ISL_435693	29623	0	19A-3	0
EPI_ISL_523583	29623	146	20A-2	0
EPI_ISL_522235	29623	2	20B-2	0
EPI_ISL_422826	29623	608	19A-4	0
EPI_ISL_492851	29623	505	20B-1	0
EPI_ISL_578446	29623	218	20A-1	0
EPI_ISL_572484	29623	1038	20A-3	0
EPI_ISL_570699	29623	2	20A-3	0
EPI_ISL_475949	29623	34	19A-3	0
EPI_ISL_476818	29623	255	20A-2	0
EPI_ISL_432373	29623	240	20A-3	0
EPI_ISL_571855	29623	0	20C-1	0
EPI_ISL_516711	29623	73	20A-3	0
EPI_ISL_438915	29623	41	20B-1	0
EPI_ISL_574824	29623	0	20B-2	0
EPI_ISL_550695	29623	0	20B-2	0
EPI_ISL_512870	29623	339	19B-2	1
EPI_ISL_563274	29623	235	20B-2	0
EPI_ISL_452520	29623	244	19B-4	0
EPI_ISL_435482	29623	0	20C-1	0
EPI_ISL_439923	29623	1	19A-1	0
EPI_ISL_545979	29623	759	20C-1	0
EPI_ISL_547979	29623	24	20B-1	0
EPI_ISL_435628	29623	1186	19A-1	0
EPI_ISL_563330	29623	0	20B-2	0
EPI_ISL_564213	29623	0	20B-2	0
EPI_ISL_420256	29623	1587	19A-4	0
EPI_ISL_571836	29623	0	20C-1	0
EPI_ISL_561783	29623	631	20B-2	0
EPI_ISL_577049	29623	1190	20B-2	1
EPI_ISL_485369	29623	263	20C-1	0
EPI_ISL_447196	29623	1	20C-1	0
EPI_ISL_544047	29623	0	20B-2	0
EPI_ISL_543282	29623	0	20B-2	0
EPI_ISL_474765	29623	876	20A-3	1
EPI_ISL_550208	29623	0	20A-3	0
EPI_ISL_539532	29623	1	19B-4	3
EPI_ISL_423425	29623	0	20B-2	0
EPI_ISL_465896	29623	0	20B-2	0
EPI_ISL_553757	29623	1041	20B-2	0
EPI_ISL_522578	29623	439	20B-2	0
EPI_ISL_442878	29623	290	20B-2	0
EPI_ISL_453984	29623	0	20B-2	0
EPI_ISL_574210	29623	0	20B-2	0
EPI_ISL_493494	29623	2120	20B-1	0
EPI_ISL_549390	29623	3	20B-2	0
EPI_ISL_443193	29623	3	19A-1	0
EPI_ISL_462905	29623	0	20C-1	0
EPI_ISL_470747	29623	0	20C-1	0
EPI_ISL_490323	29623	300	20A-3	1
EPI_ISL_510988	29623	1380	20A-3	0
EPI_ISL_544282	29623	1	20C-1	1
EPI_ISL_425910	29623	1042	19A-4	0
EPI_ISL_523077	29623	0	20A-2	0
EPI_ISL_523076	29623	0	20A-2	0
EPI_ISL_523079	29623	0	20A-2	0
EPI_ISL_523039	29623	0	20A-2	0
EPI_ISL_523038	29623	0	20A-2	0
EPI_ISL_523037	29623	0	20A-2	0
EPI_ISL_523036	29623	0	20A-2	0
EPI_ISL_523081	29623	0	20A-2	0
EPI_ISL_479595	29623	3	19A-3	0
EPI_ISL_432269	29623	1	19A-4	0
EPI_ISL_423935	29623	57	19A-4	0
EPI_ISL_518517	29623	0	20B-2	0
EPI_ISL_544637	29623	512	20B-2	0
EPI_ISL_570907	29623	0	20A-2	0
EPI_ISL_574909	29623	1	20A-3	0
EPI_ISL_536511	29623	0	20A-3	0
EPI_ISL_530151	29623	0	20A-3	1
EPI_ISL_464542	29623	804	19A-4	0
EPI_ISL_546822	29623	1163	20A-3	1
EPI_ISL_445645	29623	834	20A-3	0
EPI_ISL_421630	29623	0	20C-1	0
EPI_ISL_471755	29623	1615	20C-1	0
EPI_ISL_483865	29623	0	20A-1	0
EPI_ISL_484326	29623	7	20A-3	0
EPI_ISL_468146	29623	0	20A-3	0
EPI_ISL_424904	29623	0	19B-1	0
EPI_ISL_432386	29623	260	20A-3	0
EPI_ISL_551648	29623	289	20A-2	0
EPI_ISL_575433	29623	0	20B-2	0
EPI_ISL_568655	29623	1799	20A-2	0
EPI_ISL_482297	29623	0	19A-4	0
EPI_ISL_539022	29623	297	20A-3	0
EPI_ISL_539111	29623	271	20B-2	1
EPI_ISL_567625	29623	0	20A-3	0
EPI_ISL_568043	29623	0	20A-3	0
EPI_ISL_576816	29623	0	20A-3	0
EPI_ISL_549567	29623	0	20B-1	0
EPI_ISL_551234	29623	0	20B-1	0
EPI_ISL_551243	29623	0	20B-1	0
EPI_ISL_550055	29623	0	20B-1	0
EPI_ISL_549957	29623	0	20B-1	0
EPI_ISL_566739	29623	0	20B-1	0
EPI_ISL_549889	29623	0	20B-1	0
EPI_ISL_551111	29623	0	20B-1	0
EPI_ISL_550896	29623	0	20B-1	0
EPI_ISL_551184	29623	0	20B-1	0
EPI_ISL_550083	29623	0	20B-1	0
EPI_ISL_535950	29623	156	20C-1	0
EPI_ISL_566801	29623	0	20A-3	0
EPI_ISL_566671	29623	0	20A-3	0
EPI_ISL_431906	29623	386	20B-2	0
EPI_ISL_435657	29623	217	20A-1	0
EPI_ISL_537602	29623	0	19A-2	0
EPI_ISL_441696	29623	295	20B-2	0
EPI_ISL_548692	29623	0	20B-2	0
EPI_ISL_526365	29623	872	20A-1	0
EPI_ISL_455652	29623	0	20A-3	0
EPI_ISL_550838	29623	764	20B-2	0
EPI_ISL_527938	29623	457	20A-3	0
EPI_ISL_567622	29623	0	20B-2	0
EPI_ISL_571212	29623	56	20C-1	0
EPI_ISL_444844	29623	0	20C-1	0
EPI_ISL_541609	29623	0	20C-1	0
EPI_ISL_481064	29623	185	20A-3	0
EPI_ISL_424508	29623	3	20A-3	0
EPI_ISL_567150	29623	1	20B-2	0
EPI_ISL_458373	29623	1118	20B-2	0
EPI_ISL_463693	29623	2125	19B-3	0
EPI_ISL_532201	29623	94	20B-1	0
EPI_ISL_498558	29623	0	20A-3	0
EPI_ISL_560713	29623	1000	19A-4	0
EPI_ISL_466490	29623	409	20B-2	0
EPI_ISL_424491	29623	1	20C-1	0
EPI_ISL_510946	29623	84	20B-2	0
EPI_ISL_422270	29623	566	20A-3	0
EPI_ISL_477990	29623	0	20A-3	0
EPI_ISL_449219	29623	0	20A-3	0
EPI_ISL_477944	29623	0	20A-3	0
EPI_ISL_452184	29623	1	20A-3	0
EPI_ISL_541730	29623	10	20B-2	0
EPI_ISL_488177	29623	649	20B-1	0
EPI_ISL_510426	29623	309	20A-3	0
EPI_ISL_419473	29623	491	19A-1	0
EPI_ISL_421548	29623	0	19B-3	0
