accession	parent_clade1	parent_clade2	tclade1_dist	clade2_dist	num_supporting_SNPs	recombination_break_points	breakpoint_midpoint_sites
EPI_ISL_416539	20C-1	19B-1	10	5	15	8	247,656,2989,5861,16454,20951,26028,27992
EPI_ISL_416539	20B-2	19B-1	11	5	16	8	247,1645,2989,5861,16454,20951,25263,27992
EPI_ISL_416539	20B-1	19B-1	13	5	18	8	247,1645,2989,5861,16454,20951,25263,27992
EPI_ISL_417420	19A-1	20C-1	3	3	6	3	1930,8604,18787
EPI_ISL_417420	20C-1	19B-2	3	5	8	4	1930,5791,18787,26735
EPI_ISL_417420	19A-2	20C-1	6	3	9	4	2099,6942,18787,27007
EPI_ISL_417420	19A-4	20C-1	6	3	9	4	1930,6942,18986,25735
EPI_ISL_417420	20C-1	19B-3	3	8	11	4	1930,5791,20613,26735
EPI_ISL_417420	20C-1	19B-4	3	10	13	4	1930,5791,18986,25653
EPI_ISL_417420	19A-3	20C-1	8	3	11	6	1930,4556,18787,23548,24628,26819
EPI_ISL_417420	20C-1	19B-1	3	12	15	6	1930,2989,20951,23600,24680,26028
EPI_ISL_417444	19A-2	20A-3	2	5	7	2	701,25927
EPI_ISL_417444	19A-2	20A-2	2	6	8	2	701,27007
EPI_ISL_417444	19A-2	20A-1	2	7	9	2	701,27007
EPI_ISL_417444	19A-2	20C-1	2	7	9	2	532,27007
EPI_ISL_417444	20B-2	19A-2	8	2	10	3	701,25927,28666
EPI_ISL_417444	20B-1	19A-2	10	2	12	3	701,26091,28666
EPI_ISL_417981	19B-4	19B-2	2	3	5	2	20274,28642
EPI_ISL_417981	19B-4	19B-3	2	6	8	2	21901,28642
EPI_ISL_417981	19A-1	19B-4	5	2	7	4	20274,26943,28282,28642
EPI_ISL_417981	19A-4	19B-4	6	2	8	4	18413,25943,28282,28642
EPI_ISL_417981	19A-2	19B-4	8	2	10	4	20274,26943,28282,28554
EPI_ISL_417981	20A-3	19B-4	9	2	11	4	24573,26943,28282,28642
EPI_ISL_417981	19A-3	19B-4	10	2	12	4	24836,26943,28366,28642
EPI_ISL_417981	19B-4	19B-1	2	10	12	4	24888,26236,28249,28642
EPI_ISL_417981	20A-2	19B-4	10	2	12	4	25653,26943,28282,28642
EPI_ISL_417981	20A-1	19B-4	11	2	13	4	25653,26943,28282,28642
EPI_ISL_417981	20C-1	19B-4	11	2	13	4	25653,26943,28282,28642
EPI_ISL_417981	20B-2	19B-4	12	2	14	4	24573,26943,28282,28642
EPI_ISL_417981	20B-1	19B-4	14	2	16	4	24737,26943,28282,28642
EPI_ISL_419848	19A-4	19B-3	2	6	8	3	9814,17684,17841
EPI_ISL_420343	20B-2	20C-1	2	3	5	1	27104
EPI_ISL_420343	20B-1	20C-1	4	3	7	1	27104
EPI_ISL_420357	19A-4	20A-3	2	5	7	1	18986
EPI_ISL_420357	20B-2	19A-4	8	2	10	2	18986,27394
EPI_ISL_420357	19A-4	20A-2	2	6	8	3	18986,24365,25735
EPI_ISL_420357	19A-4	20A-1	2	7	9	3	21022,24365,25735
EPI_ISL_420357	19A-4	20C-1	2	7	9	3	18986,24365,25735
EPI_ISL_420357	19A-4	20B-1	2	10	12	4	18986,23449,24819,27394
EPI_ISL_420412	19A-1	20A-3	2	2	4	3	1521,8604,18787
EPI_ISL_420412	19A-1	20A-2	2	3	5	3	1521,8604,18787
EPI_ISL_420412	19A-1	20A-1	2	4	6	3	1521,8604,16524
EPI_ISL_420412	19A-1	20C-1	2	4	6	3	532,8604,18787
EPI_ISL_420412	20B-2	19A-1	5	2	7	3	1521,8604,18787
EPI_ISL_420412	20B-1	19A-1	7	2	9	3	1521,12134,18787
EPI_ISL_420412	20A-3	19B-2	2	4	6	4	1521,5791,18787,25655
EPI_ISL_420412	19A-2	20A-3	5	2	7	4	2099,6942,18787,25927
EPI_ISL_420412	19A-4	20A-3	5	2	7	4	1521,6942,18986,24655
EPI_ISL_420412	20A-2	19B-2	3	4	7	4	1521,5791,18787,26735
EPI_ISL_420412	19A-2	20A-2	5	3	8	4	2099,6942,18787,27007
EPI_ISL_420412	19A-4	20A-2	5	3	8	4	1521,6942,18986,25735
EPI_ISL_420412	20A-1	19B-2	4	4	8	4	1521,5791,16524,26735
EPI_ISL_420412	20C-1	19B-2	4	4	8	4	532,5791,18787,26735
EPI_ISL_420412	19A-2	20A-1	5	4	9	4	2099,6942,16524,27007
EPI_ISL_420412	19A-3	20A-3	7	2	9	4	1521,4556,18787,23548
EPI_ISL_420412	19A-4	20A-1	5	4	9	4	1521,6942,16723,25735
EPI_ISL_420412	19A-4	20C-1	5	4	9	4	532,6942,18986,25735
EPI_ISL_420412	20A-3	19B-3	2	7	9	4	1521,5791,20613,25655
EPI_ISL_420412	20A-2	19B-3	3	7	10	4	1521,5791,20613,26735
EPI_ISL_420412	20A-1	19B-3	4	7	11	4	1521,5791,18350,26735
EPI_ISL_420412	20A-3	19B-4	2	9	11	4	1521,5791,18986,24573
EPI_ISL_420412	20C-1	19B-3	4	7	11	4	532,5791,20613,26735
EPI_ISL_420412	20A-2	19B-4	3	9	12	4	1521,5791,18986,25653
EPI_ISL_420412	20A-1	19B-4	4	9	13	4	1521,5791,16723,25653
EPI_ISL_420412	20A-3	19B-1	2	11	13	4	1645,2989,20951,23600
EPI_ISL_420412	20C-1	19B-4	4	9	13	4	532,5791,18986,25653
EPI_ISL_420412	20B-2	19B-2	5	4	9	5	1521,5791,18787,25655,28394
EPI_ISL_420412	20B-2	19A-2	5	5	10	5	2099,6942,18787,25927,28666
EPI_ISL_420412	20B-2	19A-4	5	5	10	5	1521,6942,18986,24655,27394
EPI_ISL_420412	19A-4	20B-1	5	7	12	5	1521,10472,18986,24819,27394
EPI_ISL_420412	20B-1	19A-2	7	5	12	5	2099,10472,18787,26091,28666
EPI_ISL_420412	20B-2	19A-3	5	7	12	5	1521,4556,18787,23548,28478
EPI_ISL_420412	20B-2	19B-3	5	7	12	5	1521,5791,20613,25655,28394
EPI_ISL_420412	20B-2	19B-4	5	9	14	5	1521,5791,18986,24573,28754
EPI_ISL_420412	19A-2	20C-1	5	4	9	6	532,1110,2099,6942,18787,27007
EPI_ISL_420412	19A-3	20A-2	7	3	10	6	1521,4556,18787,23548,24628,26819
EPI_ISL_420412	19A-3	20A-1	7	4	11	6	1521,4556,16524,23548,24628,26819
EPI_ISL_420412	19A-3	20C-1	7	4	11	6	532,4556,18787,23548,24628,26819
EPI_ISL_420412	20A-2	19B-1	3	11	14	6	1645,2989,20951,23600,24680,26028
EPI_ISL_420412	20A-1	19B-1	4	11	15	6	1645,2989,18688,23600,24680,26028
EPI_ISL_420412	20C-1	19B-1	4	11	15	6	656,2989,20951,23600,24680,26028
EPI_ISL_420412	20B-2	19B-1	5	11	16	6	1645,2989,20951,23600,28394,29173
EPI_ISL_420412	20B-1	19B-2	7	4	11	7	1521,5791,9321,12134,18787,25819,28394
EPI_ISL_420412	20B-1	19A-3	7	7	14	7	1521,4556,8086,10472,18787,23712,28478
EPI_ISL_420412	20B-1	19B-3	7	7	14	7	1521,5791,9321,12134,20613,25819,28394
EPI_ISL_420412	20B-1	19B-4	7	9	16	7	1521,5791,9669,12134,18986,24737,28754
EPI_ISL_420412	20B-1	19B-1	7	11	18	8	1645,2989,9321,12134,20951,23764,28394,29173
EPI_ISL_421222	19A-1	20C-1	2	4	6	1	1930
EPI_ISL_421222	20C-1	19B-2	4	4	8	4	1930,5791,11477,26735
EPI_ISL_421222	19A-2	20C-1	5	4	9	4	2099,6942,12627,27007
EPI_ISL_421222	19A-4	20C-1	5	4	9	6	1930,6942,12627,14488,18986,25735
EPI_ISL_421222	19A-3	20C-1	7	4	11	6	1930,4556,13951,23548,24628,26819
EPI_ISL_421222	20C-1	19B-3	4	7	11	6	1930,5791,11477,15959,20613,26735
EPI_ISL_421222	20C-1	19B-4	4	9	13	6	1930,5791,11824,14488,18986,25653
EPI_ISL_421222	20C-1	19B-1	4	11	15	8	1930,2989,11477,16454,20951,23600,24680,26028
EPI_ISL_421655	19A-1	20A-3	2	2	4	1	8604
EPI_ISL_421655	19A-1	20A-2	2	3	5	1	8604
EPI_ISL_421655	19A-1	20A-1	2	4	6	1	8604
EPI_ISL_421655	20B-2	19A-1	5	2	7	1	8604
EPI_ISL_421655	20B-1	19A-1	7	2	9	1	6449
EPI_ISL_421655	20A-3	19B-2	2	4	6	2	11477,25655
EPI_ISL_421655	19A-2	20A-3	5	2	7	2	12627,25927
EPI_ISL_421655	20A-2	19B-2	3	4	7	2	11477,26735
EPI_ISL_421655	19A-2	20A-2	5	3	8	2	12627,27007
EPI_ISL_421655	20A-1	19B-2	4	4	8	2	11477,26735
EPI_ISL_421655	19A-2	20A-1	5	4	9	2	12627,27007
EPI_ISL_421655	19A-3	20A-3	7	2	9	2	13951,23548
EPI_ISL_421655	19A-1	20C-1	2	4	6	3	532,1930,8604
EPI_ISL_421655	20B-2	19B-2	5	4	9	3	11477,25655,28394
EPI_ISL_421655	20B-2	19A-2	5	5	10	3	12627,25927,28666
EPI_ISL_421655	20B-1	19B-2	7	4	11	3	9321,25819,28394
EPI_ISL_421655	20B-2	19A-3	5	7	12	3	13951,23548,28478
EPI_ISL_421655	19A-4	20A-3	5	2	7	4	12627,14488,18986,24655
EPI_ISL_421655	19A-4	20A-2	5	3	8	4	12627,14488,18986,25735
EPI_ISL_421655	20C-1	19B-2	4	4	8	4	532,1930,11477,26735
EPI_ISL_421655	19A-2	20C-1	5	4	9	4	532,1110,12627,27007
EPI_ISL_421655	19A-4	20A-1	5	4	9	4	12627,14488,16723,25735
EPI_ISL_421655	20A-3	19B-3	2	7	9	4	11477,15959,20613,25655
EPI_ISL_421655	19A-3	20A-2	7	3	10	4	13951,23548,24628,26819
EPI_ISL_421655	20A-2	19B-3	3	7	10	4	11477,15959,20613,26735
EPI_ISL_421655	19A-3	20A-1	7	4	11	4	13951,23548,24628,26819
EPI_ISL_421655	20A-1	19B-3	4	7	11	4	11477,15959,18350,26735
EPI_ISL_421655	20A-3	19B-4	2	9	11	4	11824,14488,18986,24573
EPI_ISL_421655	20A-2	19B-4	3	9	12	4	11824,14488,18986,25653
EPI_ISL_421655	20A-1	19B-4	4	9	13	4	11824,14488,16723,25653
EPI_ISL_421655	20A-3	19B-1	2	11	13	4	11477,16454,20951,23600
EPI_ISL_421655	20B-2	19A-4	5	5	10	5	12627,14488,18986,24655,27394
EPI_ISL_421655	20B-1	19A-2	7	5	12	5	6449,10472,12627,26091,28666
EPI_ISL_421655	20B-2	19B-3	5	7	12	5	11477,15959,20613,25655,28394
EPI_ISL_421655	20B-1	19A-3	7	7	14	5	8086,10472,13951,23712,28478
EPI_ISL_421655	20B-1	19B-3	7	7	14	5	9321,15959,20613,25819,28394
EPI_ISL_421655	20B-2	19B-4	5	9	14	5	11824,14488,18986,24573,28754
EPI_ISL_421655	20B-1	19B-4	7	9	16	5	9669,14488,18986,24737,28754
EPI_ISL_421655	19A-4	20C-1	5	4	9	6	532,1930,12627,14488,18986,25735
EPI_ISL_421655	19A-3	20C-1	7	4	11	6	532,1930,13951,23548,24628,26819
EPI_ISL_421655	20C-1	19B-3	4	7	11	6	532,1930,11477,15959,20613,26735
EPI_ISL_421655	20C-1	19B-4	4	9	13	6	532,1930,11824,14488,18986,25653
EPI_ISL_421655	20A-2	19B-1	3	11	14	6	11477,16454,20951,23600,24680,26028
EPI_ISL_421655	20A-1	19B-1	4	11	15	6	11477,16454,18688,23600,24680,26028
EPI_ISL_421655	20B-2	19B-1	5	11	16	6	11477,16454,20951,23600,28394,29173
EPI_ISL_421655	20B-1	19B-1	7	11	18	6	9321,16454,20951,23764,28394,29173
EPI_ISL_421655	19A-4	20B-1	5	7	12	7	6449,10472,12627,14488,18986,24819,27394
EPI_ISL_421655	20C-1	19B-1	4	11	15	8	656,1930,11477,16454,20951,23600,24680,26028
EPI_ISL_422966	19A-3	20C-1	9	2	11	3	8579,12288,26819
EPI_ISL_423820	19A-4	20A-3	5	2	7	4	6942,12627,14488,18986
EPI_ISL_423820	20B-2	19A-4	5	5	10	5	6942,12627,14488,18986,27394
EPI_ISL_423820	19A-4	20A-2	5	3	8	6	6942,12627,14488,18986,24365,25735
EPI_ISL_423820	19A-4	20A-1	5	4	9	6	6942,12627,14488,21022,24365,25735
EPI_ISL_423820	19A-4	20B-1	5	7	12	7	6449,12627,14488,18986,23449,24819,27394
EPI_ISL_423820	19A-4	20C-1	5	4	9	8	532,1930,6942,12627,14488,18986,24365,25735
EPI_ISL_425835	19A-4	20A-3	4	3	7	3	1521,14488,24655
EPI_ISL_425835	19A-4	20A-2	4	4	8	3	1521,14488,25735
EPI_ISL_425835	19A-4	20A-1	4	5	9	3	1521,14488,25735
EPI_ISL_425835	19A-4	20C-1	4	5	9	3	1930,14488,25735
EPI_ISL_425835	20A-3	19B-4	3	8	11	3	1521,14488,24573
EPI_ISL_425835	20A-2	19B-4	4	8	12	3	1521,14488,25653
EPI_ISL_425835	20A-1	19B-4	5	8	13	3	1521,14488,25653
EPI_ISL_425835	20C-1	19B-4	5	8	13	3	1930,14488,25653
EPI_ISL_425835	20B-2	19A-4	6	4	10	4	1521,14488,24655,27394
EPI_ISL_425835	20B-2	19B-4	6	8	14	4	1521,14488,24573,28754
EPI_ISL_425835	19A-4	20B-1	4	8	12	6	1521,6449,10472,14488,24819,27394
EPI_ISL_425835	20B-1	19B-4	8	8	16	6	1521,9669,12134,14488,24737,28754
EPI_ISL_425845	19A-1	20A-3	2	2	4	2	1521,18787
EPI_ISL_425845	19A-1	20A-2	2	3	5	3	1521,18787,24365
EPI_ISL_425845	19A-1	20A-1	2	4	6	3	1521,21022,24365
EPI_ISL_425845	19A-1	20C-1	2	4	6	3	532,18787,24365
EPI_ISL_425845	20B-2	19A-1	5	2	7	3	1521,18787,26024
EPI_ISL_425845	20B-1	19A-1	7	2	9	3	1521,18787,23449
EPI_ISL_425845	20A-3	19B-2	2	4	6	4	1521,5791,11477,18787
EPI_ISL_425845	19A-2	20A-3	5	2	7	4	2099,6942,12627,18787
EPI_ISL_425845	19A-4	20A-3	5	2	7	4	1521,6942,12627,14488
EPI_ISL_425845	19A-3	20A-3	7	2	9	4	1521,4556,13951,18787
EPI_ISL_425845	20A-3	19B-3	2	7	9	4	1521,5791,11477,15959
EPI_ISL_425845	20A-3	19B-4	2	9	11	4	1521,5791,11824,14488
EPI_ISL_425845	20A-3	19B-1	2	11	13	4	1645,2989,11477,16454
EPI_ISL_425845	20B-2	19B-2	5	4	9	5	1521,5791,11477,18787,28394
EPI_ISL_425845	20B-2	19A-2	5	5	10	5	2099,6942,12627,18787,28666
EPI_ISL_425845	20B-2	19A-4	5	5	10	5	1521,6942,12627,14488,27394
EPI_ISL_425845	20B-2	19A-3	5	7	12	5	1521,4556,13951,18787,28478
EPI_ISL_425845	20B-2	19B-3	5	7	12	5	1521,5791,11477,15959,28394
EPI_ISL_425845	20B-2	19B-4	5	9	14	5	1521,5791,11824,14488,28754
EPI_ISL_425845	20A-2	19B-2	3	4	7	6	1521,5791,11477,18787,24365,26735
EPI_ISL_425845	19A-2	20A-2	5	3	8	6	2099,6942,12627,18787,24365,27007
EPI_ISL_425845	19A-4	20A-2	5	3	8	6	1521,6942,12627,14488,24365,25735
EPI_ISL_425845	20A-1	19B-2	4	4	8	6	1521,5791,11477,21022,24365,26735
EPI_ISL_425845	20C-1	19B-2	4	4	8	6	532,5791,11477,18787,24365,26735
EPI_ISL_425845	19A-2	20A-1	5	4	9	6	2099,6942,12627,21022,24365,27007
EPI_ISL_425845	19A-4	20C-1	5	4	9	6	532,6942,12627,14488,24365,25735
EPI_ISL_425845	19A-3	20A-2	7	3	10	6	1521,4556,13951,18787,24628,26819
EPI_ISL_425845	20A-2	19B-3	3	7	10	6	1521,5791,11477,15959,24365,26735
EPI_ISL_425845	19A-3	20A-1	7	4	11	6	1521,4556,13951,21022,24628,26819
EPI_ISL_425845	19A-3	20C-1	7	4	11	6	532,4556,13951,18787,24628,26819
EPI_ISL_425845	20C-1	19B-3	4	7	11	6	532,5791,11477,15959,24365,26735
EPI_ISL_425845	20A-2	19B-4	3	9	12	6	1521,5791,11824,14488,24365,25653
EPI_ISL_425845	20C-1	19B-4	4	9	13	6	532,5791,11824,14488,24365,25653
EPI_ISL_425845	20A-2	19B-1	3	11	14	6	1645,2989,11477,16454,24680,26028
EPI_ISL_425845	20C-1	19B-1	4	11	15	6	656,2989,11477,16454,24680,26028
EPI_ISL_425845	20B-2	19B-1	5	11	16	6	1645,2989,11477,16454,28394,29173
EPI_ISL_425845	20B-1	19B-2	7	4	11	7	1521,5791,9321,18787,23449,25819,28394
EPI_ISL_425845	19A-4	20B-1	5	7	12	7	1521,10472,12627,14488,23449,24819,27394
EPI_ISL_425845	20B-1	19A-2	7	5	12	7	2099,10472,12627,18787,23449,26091,28666
EPI_ISL_425845	20B-1	19B-3	7	7	14	7	1521,5791,9321,15959,23449,25819,28394
EPI_ISL_425845	20B-1	19B-4	7	9	16	7	1521,5791,9669,14488,23449,24737,28754
EPI_ISL_425845	19A-2	20C-1	5	4	9	8	532,1110,2099,6942,12627,18787,24365,27007
EPI_ISL_425845	19A-4	20A-1	5	4	9	8	1521,6942,12627,14488,16723,21022,24365,25735
EPI_ISL_425845	20A-1	19B-3	4	7	11	8	1521,5791,11477,15959,18350,21022,24365,26735
EPI_ISL_425845	20A-1	19B-4	4	9	13	8	1521,5791,11824,14488,16723,21022,24365,25653
EPI_ISL_425845	20A-1	19B-1	4	11	15	8	1645,2989,11477,16454,18688,21022,24680,26028
EPI_ISL_425845	20B-1	19B-1	7	11	18	8	1645,2989,9321,16454,23449,23764,28394,29173
EPI_ISL_425845	20B-1	19A-3	7	7	14	9	1521,4556,8086,10472,13951,18787,23449,23712,28478
EPI_ISL_426680	20A-3	19B-4	3	8	11	6	1521,5791,11824,14488,24573,26943
EPI_ISL_426680	20A-2	19B-4	4	8	12	6	1521,5791,11824,14488,24365,26943
EPI_ISL_426680	20C-1	19B-4	5	8	13	6	532,5791,11824,14488,24365,26943
EPI_ISL_426680	20B-2	19B-4	6	8	14	7	1521,5791,11824,14488,24573,26943,28754
EPI_ISL_426680	20B-1	19B-4	8	8	16	7	1521,5791,9669,14488,23449,26943,28754
EPI_ISL_426680	20A-1	19B-4	5	8	13	8	1521,5791,11824,14488,16723,21022,24365,26943
EPI_ISL_427035	19A-2	20A-3	3	4	7	2	701,18787
EPI_ISL_427035	20B-2	19A-2	7	3	10	3	701,18787,28666
EPI_ISL_427035	19A-2	20A-2	3	5	8	4	701,18787,24365,27007
EPI_ISL_427035	19A-2	20A-1	3	6	9	4	701,21022,24365,27007
EPI_ISL_427035	19A-2	20C-1	3	6	9	4	532,18787,24365,27007
EPI_ISL_427035	20B-1	19A-2	9	3	12	5	701,18787,23449,26091,28666
EPI_ISL_427090	19A-1	20A-2	3	2	5	3	1521,18787,24365
EPI_ISL_427090	19A-1	20A-1	3	3	6	3	1521,16524,24365
EPI_ISL_427090	19A-1	20C-1	3	3	6	3	1930,18787,24365
EPI_ISL_427090	20A-2	19B-2	2	5	7	3	1521,18787,24365
EPI_ISL_427090	19A-2	20A-2	6	2	8	3	701,18787,24365
EPI_ISL_427090	19A-4	20A-2	6	2	8	3	1521,18986,24365
EPI_ISL_427090	20A-1	19B-2	3	5	8	3	1521,16524,24365
EPI_ISL_427090	20C-1	19B-2	3	5	8	3	1930,18787,24365
EPI_ISL_427090	19A-2	20A-1	6	3	9	3	701,16524,24365
EPI_ISL_427090	19A-2	20C-1	6	3	9	3	1110,18787,24365
EPI_ISL_427090	19A-4	20A-1	6	3	9	3	1521,16723,24365
EPI_ISL_427090	19A-4	20C-1	6	3	9	3	1930,18986,24365
EPI_ISL_427090	19A-3	20A-2	8	2	10	3	1521,18787,23548
EPI_ISL_427090	20A-2	19B-3	2	8	10	3	1521,20613,24365
EPI_ISL_427090	19A-3	20A-1	8	3	11	3	1521,16524,23548
EPI_ISL_427090	19A-3	20C-1	8	3	11	3	1930,18787,23548
EPI_ISL_427090	20A-1	19B-3	3	8	11	3	1521,18350,24365
EPI_ISL_427090	20C-1	19B-3	3	8	11	3	1930,20613,24365
EPI_ISL_427090	20A-2	19B-4	2	10	12	3	1521,18986,24365
EPI_ISL_427090	20A-1	19B-4	3	10	13	3	1521,16723,24365
EPI_ISL_427090	20C-1	19B-4	3	10	13	3	1930,18986,24365
EPI_ISL_427090	20A-2	19B-1	2	12	14	3	247,20951,23600
EPI_ISL_427090	20A-1	19B-1	3	12	15	3	247,18688,23600
EPI_ISL_427090	20C-1	19B-1	3	12	15	5	247,656,1930,20951,23600
EPI_ISL_427144	19A-3	19B-4	10	2	12	4	10162,12288,28109,28366
EPI_ISL_428676	20A-3	19B-2	4	2	6	4	1521,5791,18787,25655
EPI_ISL_428676	20A-2	19B-2	5	2	7	4	1521,5791,18787,24365
EPI_ISL_428676	20A-1	19B-2	6	2	8	4	1521,5791,21022,24365
EPI_ISL_428676	20C-1	19B-2	6	2	8	4	1930,5791,18787,24365
EPI_ISL_428676	20A-3	19B-3	4	5	9	4	1521,5791,15959,25655
EPI_ISL_428676	20B-2	19B-2	7	2	9	4	1521,5791,18787,25655
EPI_ISL_428676	20A-2	19B-3	5	5	10	4	1521,5791,15959,24365
EPI_ISL_428676	20B-1	19B-2	9	2	11	4	1521,5791,18787,23449
EPI_ISL_428676	20C-1	19B-3	6	5	11	4	1930,5791,15959,24365
EPI_ISL_428676	20B-2	19B-3	7	5	12	4	1521,5791,15959,25655
EPI_ISL_428676	20B-1	19B-3	9	5	14	4	1521,5791,15959,23449
EPI_ISL_428676	20A-3	19B-1	4	9	13	5	247,5861,16454,27992,28804
EPI_ISL_428676	20B-2	19B-1	7	9	16	5	247,5861,16454,27992,29173
EPI_ISL_428676	20A-1	19B-3	6	5	11	6	1521,5791,15959,18350,21022,24365
EPI_ISL_428676	20A-3	19B-4	4	7	11	7	1521,5791,9011,11824,14488,26943,28282
EPI_ISL_428676	20A-2	19B-1	5	9	14	7	247,5861,16454,24680,26028,27992,28804
EPI_ISL_428676	20B-1	19B-1	9	9	18	7	247,5861,16454,23449,23764,27992,29173
EPI_ISL_428676	20B-2	19B-4	7	7	14	8	1521,5791,9011,11824,14488,26943,28282,28754
EPI_ISL_428676	20A-2	19B-4	5	7	12	9	1521,5791,9011,11824,14488,24365,25653,26943,28282
EPI_ISL_428676	20C-1	19B-4	6	7	13	9	1930,5791,9011,11824,14488,24365,25653,26943,28282
EPI_ISL_428676	20A-1	19B-1	6	9	15	9	247,5861,16454,18688,21022,24680,26028,27992,28804
EPI_ISL_428676	20C-1	19B-1	6	9	15	9	247,656,1930,5861,16454,24680,26028,27992,28804
EPI_ISL_428676	20B-1	19B-4	9	7	16	10	1521,5791,9011,9669,14488,23449,24737,26943,28282,28754
EPI_ISL_428676	20A-1	19B-4	6	7	13	11	1521,5791,9011,11824,14488,16723,21022,24365,25653,26943,28282
EPI_ISL_428678	20A-3	19B-2	4	2	6	4	1521,5791,18787,25655
EPI_ISL_428678	20A-2	19B-2	5	2	7	4	1521,5791,18787,24365
EPI_ISL_428678	20A-1	19B-2	6	2	8	4	1521,5791,21022,24365
EPI_ISL_428678	20C-1	19B-2	6	2	8	4	1930,5791,18787,24365
EPI_ISL_428678	20A-3	19B-3	4	5	9	4	1521,5791,15959,25655
EPI_ISL_428678	20B-2	19B-2	7	2	9	4	1521,5791,18787,25655
EPI_ISL_428678	20A-2	19B-3	5	5	10	4	1521,5791,15959,24365
EPI_ISL_428678	20B-1	19B-2	9	2	11	4	1521,5791,18787,23449
EPI_ISL_428678	20C-1	19B-3	6	5	11	4	1930,5791,15959,24365
EPI_ISL_428678	20B-2	19B-3	7	5	12	4	1521,5791,15959,25655
EPI_ISL_428678	20B-1	19B-3	9	5	14	4	1521,5791,15959,23449
EPI_ISL_428678	20A-3	19B-1	4	9	13	5	247,5861,16454,27992,28804
EPI_ISL_428678	20B-2	19B-1	7	9	16	5	247,5861,16454,27992,29173
EPI_ISL_428678	20A-1	19B-3	6	5	11	6	1521,5791,15959,18350,21022,24365
EPI_ISL_428678	20A-3	19B-4	4	7	11	7	1521,5791,9011,11824,14488,26943,28282
EPI_ISL_428678	20A-2	19B-1	5	9	14	7	247,5861,16454,24680,26028,27992,28804
EPI_ISL_428678	20B-1	19B-1	9	9	18	7	247,5861,16454,23449,23764,27992,29173
EPI_ISL_428678	20B-2	19B-4	7	7	14	8	1521,5791,9011,11824,14488,26943,28282,28754
EPI_ISL_428678	20A-2	19B-4	5	7	12	9	1521,5791,9011,11824,14488,24365,25653,26943,28282
EPI_ISL_428678	20C-1	19B-4	6	7	13	9	1930,5791,9011,11824,14488,24365,25653,26943,28282
EPI_ISL_428678	20A-1	19B-1	6	9	15	9	247,5861,16454,18688,21022,24680,26028,27992,28804
EPI_ISL_428678	20C-1	19B-1	6	9	15	9	247,656,1930,5861,16454,24680,26028,27992,28804
EPI_ISL_428678	20B-1	19B-4	9	7	16	10	1521,5791,9011,9669,14488,23449,24737,26943,28282,28754
EPI_ISL_428678	20A-1	19B-4	6	7	13	11	1521,5791,9011,11824,14488,16723,21022,24365,25653,26943,28282
